HLHLHHLHLHHLLHHLHLLLHLLHHLLLHLLLHHHHHHLHLHLLLHLLLLLHLLLLLLLLHLLL
W_LIST: 0.328987 0.188798 -0.364584 -1.15495 -0.868076 1.50967 -0.845362 -0.672303 -1.29652 1.55655 -0.982226 0.109285 1.15365 -0.35819 0.599827 0.513425 1.22611 -1.16364 -1.2547 0.386282 1.39465 -1.46476 0.0896008 1.64006 -0.906394 -0.801416 -0.820052 0.607073 -0.908617 -0.836776 1.16137 1.23856 0.217461 -1.01618 1.34654 -0.987301 -1.33158 -0.310385 1.41509 1.23063 1.3074 0.51409 -1.39082 -0.30297 1.13406 -0.650521 -0.854042 0.843678 -0.561652 -1.36325 -1.24359 -0.84036 0.261653 0.703926 -0.0582861 -1.05889 0.472712 -0.52837 -0.785889 0.26672 1.10323 0.114667 -0.501337 1.46086 
st	op	ed	phy
SITE: 9	10	12	1
SITE: 23	24	26	1
SITE: 53	55	56	0
SITE: 41	42	44	0
SITE: 28	30	31	1
SITE: 44	46	47	0
SITE: 51	53	54	1
SITE: 45	47	49	1
SITE: 44	48	49	0
SITE: 32	34	35	0
SITE: 3	5	6	0
SITE: 15	16	18	0
SITE: 12	14	15	0
SITE: 1	3	4	0
SITE: 44	49	50	0
SITE: 56	58	59	0
SITE: 11	12	15	1
SITE: 21	23	25	0
SITE: 44	50	51	0
SITE: 44	51	52	1
SITE: 52	56	57	1
SITE: 6	8	9	0
SITE: 32	33	36	1
SITE: 9	11	15	0
SITE: 22	25	27	0
SITE: 20	21	26	0
SITE: 17	18	20	0
SITE: 7	9	15	0
SITE: 29	31	35	1
SITE: 41	44	45	1
SITE: 1	4	6	0
SITE: 1	6	7	0
SITE: 27	29	32	0
SITE: 15	19	20	1
SITE: 22	27	28	1
SITE: 38	40	41	1
SITE: 26	32	35	1
SITE: 15	20	22	0
SITE: 17	22	28	1
SITE: 15	17	28	0
SITE: 43	52	54	0
SITE: 41	43	54	0
SITE: 0	1	7	0
SITE: 37	38	41	1
SITE: 2	7	15	0
SITE: 35	36	39	1
SITE: 35	37	41	1
SITE: 28	35	41	1
SITE: 57	60	61	0
SITE: 28	41	45	0
SITE: 15	28	39	1
SITE: 13	15	39	1
SITE: 54	59	61	1
SITE: 26	39	54	1
SITE: 0	2	26	0
SITE: 54	61	62	1
SITE: 0	0	45	0
SITE: 45	57	62	0
SITE: 26	54	62	1
SITE: 13	45	62	1
SITE: 13	63	63	1
SITE: 13	62	62	0
SITE: 13	26	26	0
SITE: 13	13	13	1
MPS Info: -8.86465 1.58657 0.0594191 
Writing MPS done!
