HLLLHHLHLHLLHLLHLLLLLHHLLLHHHLHHLLLLHHHHHLHHLLLLHHLLLLHLLHLLHLLL
W_LIST: 6.36474 2.45164 -0.667199 -2.66456 3.23724 0.239987 0.607711 -4.06079 -4.73849 1.43862 -6.2137 -0.788474 2.58058 -1.76083 6.88218 2.36332 -6.57837 5.36465 -1.75575 1.78026 -1.16622 1.92264 4.14373 -6.01545 -5.58128 5.10049 6.90737 2.34621 -3.41372 -5.0766 -4.0906 6.19376 5.16205 -6.73656 -2.75178 -5.09031 -1.59334 1.6917 2.38525 3.96913 -5.32402 3.60767 3.41172 2.69067 -6.94082 2.35896 0.935725 6.71645 -4.62352 -5.21824 -4.15487 3.92403 5.9007 -5.25384 6.4035 -3.40439 -4.91328 -4.11716 -2.72546 1.23092 5.45048 6.6963 -4.85307 2.38789 
st	op	ed	phy
SITE: 15	16	18	0
SITE: 13	14	17	1
SITE: 13	17	18	1
SITE: 12	13	18	0
SITE: 10	12	15	0
SITE: 10	15	18	0
SITE: 9	10	18	0
SITE: 8	9	18	0
SITE: 8	18	19	0
SITE: 8	19	20	1
SITE: 8	20	21	0
SITE: 11	22	23	0
SITE: 8	21	23	0
SITE: 50	52	53	1
SITE: 50	53	54	0
SITE: 50	54	55	0
SITE: 50	51	56	1
SITE: 11	24	25	0
SITE: 8	23	25	0
SITE: 11	26	27	0
SITE: 8	25	27	1
SITE: 8	27	28	0
SITE: 8	28	29	1
SITE: 11	29	31	0
SITE: 8	30	31	1
SITE: 11	31	33	0
SITE: 8	32	33	1
SITE: 8	33	34	0
SITE: 8	34	35	0
SITE: 8	35	36	0
SITE: 8	36	37	1
SITE: 44	45	47	1
SITE: 44	47	48	1
SITE: 43	44	48	0
SITE: 8	37	38	0
SITE: 11	39	40	0
SITE: 8	38	40	0
SITE: 8	40	41	1
SITE: 6	8	11	0
SITE: 6	7	41	1
SITE: 5	6	41	0
SITE: 3	4	11	0
SITE: 3	5	41	0
SITE: 1	3	11	0
SITE: 1	11	41	1
SITE: 0	0	41	0
SITE: 59	61	62	1
SITE: 59	62	63	0
SITE: 58	60	63	0
SITE: 57	58	63	0
SITE: 55	56	59	0
SITE: 55	57	63	1
SITE: 50	55	63	0
SITE: 49	50	63	0
SITE: 46	49	59	1
SITE: 43	48	59	1
SITE: 43	59	63	1
SITE: 1	1	42	1
SITE: 42	43	63	0
SITE: 2	42	46	0
SITE: 2	41	63	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 46	46	46	0
MPS Info: -27.6321 0.318846 0.685896 
Writing MPS done!
