LHHLLHLHLHLLHHHHLHLLHHHHHHHHHHLHLLLLLHLHLLLLLHHLLHLHLLLLHHHLHLHH
W_LIST: 1.19552 0.484463 1.79841 0.280303 0.691336 -1.93391 1.71075 0.0380019 0.311913 0.696446 1.48915 0.919145 -0.483737 -1.0754 -0.084438 1.12842 -0.73377 1.01059 -0.421313 0.854613 -0.441273 -0.937929 1.79168 0.723923 -1.61553 0.840042 1.66594 0.181815 -0.0203984 -0.9888 -1.71266 -0.0111001 -0.822172 0.471924 -0.0546596 0.42679 0.737384 -0.658243 0.494049 -1.65514 1.70822 0.321781 -1.82154 1.83905 -0.778534 0.33599 -1.36212 1.13904 1.52447 -0.2786 1.3025 -1.80978 0.651277 -0.294696 1.02794 1.45202 -1.19041 -1.49427 0.566504 0.594445 -0.618073 0.113828 0.352851 0.0597318 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	0	4	1
SITE: 1	4	5	1
SITE: 1	5	6	1
SITE: 1	6	7	1
SITE: 1	7	8	1
SITE: 1	3	9	0
SITE: 1	9	10	0
SITE: 1	10	11	1
SITE: 1	11	12	1
SITE: 1	12	13	1
SITE: 1	13	14	1
SITE: 1	14	15	1
SITE: 1	15	16	0
SITE: 1	16	17	0
SITE: 1	17	18	0
SITE: 1	8	19	0
SITE: 1	19	20	1
SITE: 1	20	21	1
SITE: 1	21	22	1
SITE: 1	22	23	0
SITE: 1	23	24	0
SITE: 1	24	25	1
SITE: 1	18	26	0
SITE: 1	26	27	0
SITE: 1	27	28	0
SITE: 1	25	29	0
SITE: 1	29	30	1
SITE: 1	30	31	0
SITE: 1	31	32	0
SITE: 1	32	33	0
SITE: 1	33	34	1
SITE: 1	34	35	0
SITE: 1	35	36	1
SITE: 1	36	37	1
SITE: 1	37	38	1
SITE: 1	28	39	0
SITE: 1	39	40	1
SITE: 1	40	41	1
SITE: 1	41	42	0
SITE: 1	42	43	0
SITE: 1	43	44	1
SITE: 1	44	45	0
SITE: 1	45	46	0
SITE: 1	46	47	1
SITE: 1	47	48	1
SITE: 1	48	49	1
SITE: 1	49	50	1
SITE: 1	50	51	1
SITE: 1	51	52	1
SITE: 1	52	53	1
SITE: 1	53	54	0
SITE: 1	54	55	1
SITE: 1	55	56	1
SITE: 1	56	57	1
SITE: 1	57	58	1
SITE: 1	58	59	1
SITE: 1	59	60	1
SITE: 1	60	61	1
SITE: 1	61	62	0
SITE: 1	62	63	0
SITE: 1	63	63	0
SITE: 1	1	38	0
WARN: Unitary gate is identity
SITE: 38	38	38	1
MPS Info: 3.40813 1.3841 0.17692 
Writing MPS done!
