HLHHLLHHHLHLHHLHHHLLLLHLHLHHHLLLHHHHHLHHLHHLLHHLLHHHLHHHLHLLLLHL
W_LIST: 2.28317 -0.754134 3.50091 -4.09277 0.624471 4.0492 -0.221597 0.00219948 -1.99156 -3.87265 -1.86296 3.8399 -2.61523 -0.221869 -3.89293 -0.956932 1.9884 4.10975 -1.2078 2.30891 -0.55761 2.57722 1.64213 -3.95878 0.909219 1.49245 -0.457129 -1.27233 -3.55886 -2.97388 2.62398 -2.996 -2.85174 4.32482 -1.94486 -1.66962 -2.79302 -0.687487 -3.43647 3.21819 3.0706 4.17206 -2.31178 -1.68965 -3.5209 -4.09057 -1.28172 1.87261 -0.244296 0.130864 2.31692 2.53912 -2.576 -0.748174 -3.48411 -4.04849 0.101402 2.26507 1.47145 3.85752 -2.85774 3.40513 -2.17409 4.15251 
st	op	ed	phy
SITE: 43	45	46	1
SITE: 3	5	6	1
SITE: 15	17	18	0
SITE: 16	19	20	1
SITE: 50	52	53	0
SITE: 12	14	15	0
SITE: 13	16	18	0
SITE: 44	47	48	1
SITE: 7	9	10	0
SITE: 34	36	37	1
SITE: 25	27	28	1
SITE: 49	51	53	0
SITE: 10	11	13	1
SITE: 6	8	10	1
SITE: 13	18	20	0
SITE: 0	2	3	0
SITE: 39	41	42	0
SITE: 10	12	15	1
SITE: 1	3	6	1
SITE: 25	28	29	1
SITE: 46	48	50	0
SITE: 21	23	24	0
SITE: 30	31	33	0
SITE: 32	33	35	0
SITE: 29	30	34	1
SITE: 25	29	32	0
SITE: 49	50	54	0
SITE: 55	57	58	0
SITE: 38	40	42	1
SITE: 25	32	34	1
SITE: 1	6	7	1
SITE: 25	34	35	1
SITE: 22	25	26	1
SITE: 54	55	58	1
SITE: 15	21	22	1
SITE: 37	38	42	1
SITE: 43	44	49	0
SITE: 53	54	58	1
SITE: 20	22	26	0
SITE: 53	58	59	1
SITE: 35	39	42	0
SITE: 7	10	15	1
SITE: 26	35	42	1
SITE: 13	20	24	0
SITE: 37	42	46	1
SITE: 7	15	24	1
SITE: 0	0	7	0
SITE: 37	46	49	1
SITE: 26	43	49	0
SITE: 56	59	61	1
SITE: 13	26	37	1
SITE: 24	37	53	0
SITE: 56	61	62	1
SITE: 49	53	60	1
SITE: 13	24	56	0
SITE: 13	49	60	0
SITE: 7	13	60	0
SITE: 1	7	56	1
SITE: 1	4	60	0
SITE: 1	60	62	0
SITE: 1	63	63	1
SITE: 1	62	62	1
SITE: 1	1	56	1
WARN: Unitary gate is identity
SITE: 56	56	56	0
MPS Info: 6.45927 0.802568 0.37645 
Writing MPS done!
