LHHHLLLHHLHLLHLLLHHHLLHHLLHHHHHLLHLLLLLLHHLLLHLLHLLHHLLLLHHLLHLL
W_LIST: 2.99826 -5.1486 4.55109 -2.14549 -4.02445 5.24524 2.14319 0.0519913 -0.81013 -1.4555 -4.49231 -1.74188 -2.25419 -1.56952 2.82149 -4.41534 -5.08394 -1.45394 4.02523 -2.77016 -0.931191 0.336421 -1.93189 -1.47189 -1.59309 -3.29208 1.93851 -0.540818 -2.21757 -3.14792 -0.667132 3.47125 -2.85071 3.29065 -1.26984 -0.458911 4.59354 4.02976 -1.45674 -0.224768 -1.16392 -2.33343 -3.85005 1.4106 -3.20442 -2.06993 2.72611 -2.65968 -3.449 5.03931 -2.16841 -0.84877 4.61237 -0.853164 4.55536 4.77307 -1.52381 -0.597021 -3.6695 3.1663 2.74755 2.24744 4.46208 2.63535 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	0
SITE: 0	4	5	0
SITE: 0	5	6	1
SITE: 0	0	7	1
SITE: 3	6	8	1
SITE: 3	8	9	1
SITE: 3	9	10	0
SITE: 3	10	11	1
SITE: 3	11	12	0
SITE: 3	12	13	0
SITE: 3	3	14	1
SITE: 7	14	15	1
SITE: 7	15	16	0
SITE: 7	16	17	0
SITE: 7	13	18	1
SITE: 7	18	19	0
SITE: 7	19	20	1
SITE: 7	20	21	0
SITE: 7	7	22	1
SITE: 17	22	23	1
SITE: 17	23	24	1
SITE: 17	24	25	0
SITE: 17	25	26	0
SITE: 17	26	27	0
SITE: 17	17	28	1
SITE: 21	28	29	1
SITE: 21	29	30	1
SITE: 21	30	31	1
SITE: 21	31	32	1
SITE: 21	32	33	0
SITE: 21	33	34	0
SITE: 21	34	35	0
SITE: 21	27	36	1
SITE: 21	36	37	1
SITE: 21	37	38	1
SITE: 21	38	39	0
SITE: 21	39	40	1
SITE: 21	40	41	1
SITE: 21	41	42	1
SITE: 21	42	43	0
SITE: 21	43	44	1
SITE: 21	44	45	0
SITE: 21	45	46	1
SITE: 21	46	47	1
SITE: 21	47	48	0
SITE: 21	48	49	1
SITE: 21	49	50	1
SITE: 21	50	51	0
SITE: 21	51	52	1
SITE: 21	52	53	0
SITE: 21	53	54	0
SITE: 21	54	55	1
SITE: 21	55	56	1
SITE: 21	56	57	0
SITE: 21	57	58	0
SITE: 21	58	59	1
SITE: 21	59	60	1
SITE: 21	60	61	1
SITE: 21	61	62	0
SITE: 21	62	63	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 21	21	21	0
WARN: Unitary gate is identity
SITE: 35	35	35	0
MPS Info: -21.3429 1.65689 0.0417017 
Writing MPS done!
