HLHHHHHLHLLHLLHHHHLLLLHHHHHHHHLHLHLLLHLHLLHHHLHHLHLLLHHLHLHHHLHL
W_LIST: -0.12129 -0.271039 0.451578 0.488194 -0.555179 -0.125198 -0.427183 0.115908 -0.372277 -0.107062 -0.0886218 -0.616911 -0.183258 -0.0102108 0.316214 -0.164554 0.0908193 -0.342032 -0.517412 0.337664 0.579464 -0.370818 -0.104768 0.615825 0.304449 -0.572053 0.273011 -0.173783 -0.581851 -0.307337 -0.072603 -0.548209 0.485077 -0.429652 0.498378 -0.16709 0.515079 -0.3877 -0.186072 0.605586 0.169824 0.500172 0.092975 -0.631694 0.568639 0.215437 -0.62315 -0.0123953 0.175387 -0.0300615 0.25046 -0.317075 0.475032 -0.658804 0.162002 0.60289 -0.653346 0.523368 0.168795 0.577969 -0.510858 -0.0667481 -0.0731377 -0.331375 
st	op	ed	phy
SITE: 42	43	45	1
SITE: 40	41	44	1
SITE: 39	42	44	1
SITE: 39	44	45	1
SITE: 39	45	46	1
SITE: 39	46	47	1
SITE: 39	47	48	1
SITE: 39	48	49	1
SITE: 38	39	49	0
SITE: 37	38	49	1
SITE: 36	37	49	1
SITE: 36	49	50	1
SITE: 36	50	51	1
SITE: 36	51	52	0
SITE: 36	52	53	1
SITE: 36	53	54	1
SITE: 36	54	55	1
SITE: 36	55	56	1
SITE: 40	56	58	1
SITE: 36	57	58	0
SITE: 40	58	60	0
SITE: 36	59	60	0
SITE: 40	60	62	1
SITE: 36	61	62	0
SITE: 36	62	63	0
SITE: 34	35	40	0
SITE: 34	36	63	1
SITE: 33	34	63	1
SITE: 32	33	63	1
SITE: 31	32	63	1
SITE: 30	31	63	1
SITE: 29	30	63	0
SITE: 28	29	63	0
SITE: 27	28	63	1
SITE: 25	26	40	0
SITE: 25	27	63	0
SITE: 23	24	40	0
SITE: 22	23	40	0
SITE: 20	21	25	0
SITE: 20	22	40	0
SITE: 19	20	40	1
SITE: 18	19	40	1
SITE: 17	18	40	0
SITE: 16	17	40	0
SITE: 15	16	40	0
SITE: 14	25	40	1
SITE: 14	40	63	0
SITE: 13	14	63	0
SITE: 11	13	15	1
SITE: 11	12	63	0
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 7	9	15	0
SITE: 7	8	63	1
SITE: 5	6	15	1
SITE: 5	7	63	0
SITE: 2	4	5	1
SITE: 2	5	15	1
SITE: 1	2	15	0
SITE: 1	3	63	0
SITE: 0	0	63	0
SITE: 1	63	63	0
SITE: 1	15	15	0
SITE: 1	1	1	0
MPS Info: 6.26381 1.87234 0.55601 
Writing MPS done!
