LHHLHLHLLHHLLLLHLHHLLLLHHLLLLLLHHHHHLHHHHHHHHLHLLHHHLHHLLHLLLHLL
W_LIST: 0.411716 0.720435 0.45825 0.380828 -0.26162 0.585089 -0.612749 -0.469536 0.381699 -0.387242 0.251368 0.815423 0.465494 -0.0655475 0.949669 -0.609671 -0.212141 -0.0639194 0.723071 0.941884 -0.13148 -0.14198 -0.60556 -0.0532017 -0.290541 -0.770755 -0.313262 0.893946 -0.798034 0.024733 0.0924024 0.563565 -0.416026 0.85872 0.269131 -0.838565 0.384777 0.0126875 -0.998329 -0.126499 0.889879 0.645801 0.396193 0.236538 -0.683027 0.146845 -0.836746 0.612974 0.614718 -0.739469 0.597325 -0.986872 0.0792147 -0.642628 -0.824685 -0.474369 0.828753 0.0151623 -0.426544 -0.303048 0.585629 -0.058581 -0.658614 0.343446 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	2	4	0
SITE: 0	0	5	1
SITE: 3	5	6	1
SITE: 3	6	7	1
SITE: 3	7	8	0
SITE: 3	8	9	1
SITE: 3	9	10	1
SITE: 3	4	11	1
SITE: 3	11	12	1
SITE: 3	10	13	1
SITE: 3	3	14	1
SITE: 12	14	15	1
SITE: 12	15	16	1
SITE: 12	13	17	0
SITE: 12	16	18	0
SITE: 12	18	19	0
SITE: 12	19	20	1
SITE: 12	20	21	0
SITE: 12	21	22	1
SITE: 12	22	23	0
SITE: 12	23	24	0
SITE: 12	17	25	0
SITE: 12	25	26	0
SITE: 12	24	27	0
SITE: 12	27	28	1
SITE: 12	28	29	0
SITE: 12	29	30	1
SITE: 12	30	31	0
SITE: 12	31	32	0
SITE: 12	32	33	1
SITE: 12	33	34	0
SITE: 12	34	35	0
SITE: 12	35	36	1
SITE: 12	36	37	1
SITE: 12	37	38	1
SITE: 12	38	39	1
SITE: 12	39	40	1
SITE: 12	40	41	0
SITE: 12	41	42	0
SITE: 12	42	43	0
SITE: 12	43	44	0
SITE: 12	44	45	1
SITE: 12	45	46	1
SITE: 12	46	47	1
SITE: 12	47	48	0
SITE: 12	48	49	1
SITE: 12	49	50	1
SITE: 12	50	51	0
SITE: 12	51	52	1
SITE: 12	52	53	1
SITE: 12	53	54	1
SITE: 12	54	55	1
SITE: 12	55	56	0
SITE: 12	56	57	1
SITE: 12	57	58	1
SITE: 12	58	59	0
SITE: 12	59	60	0
SITE: 12	60	61	1
SITE: 12	61	62	1
SITE: 12	62	63	0
SITE: 12	63	63	1
SITE: 12	12	26	1
SITE: 26	26	26	0
MPS Info: 1.69699 2.38547 0.510146 
Writing MPS done!
