LLHHLLLHLLLLHLHLLLHHHLLLLLHLLLLHLHLHHHHLLHLHLLHHHHHHHLLLHLHHLHLH
W_LIST: 1.54422 3.83627 0.714448 1.1629 2.01901 1.32332 -3.36006 -4.33536 -2.18417 3.45396 2.42502 -2.18827 -1.32333 -1.50557 1.05699 1.83728 -1.38191 -1.39284 3.53796 1.38667 -0.839317 2.7436 -1.54744 -2.58174 3.26231 -3.95407 -0.24084 1.27734 -1.71631 3.87935 3.95 -3.90401 -0.231579 1.57143 -3.73576 -4.62291 4.29399 -4.19878 -3.1813 1.01761 0.66683 4.3187 -4.01763 -2.24534 -1.58895 -0.956488 -2.65624 -0.643078 3.23955 -2.76768 -1.31576 3.23502 0.995505 4.19517 3.79595 -0.853965 -3.14655 4.06395 -1.0308 0.960847 -4.62868 3.40967 2.44247 -3.43297 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	4	5	1
SITE: 0	5	6	1
SITE: 0	6	7	0
SITE: 0	7	8	1
SITE: 0	8	9	0
SITE: 0	9	10	1
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	0	13	1
SITE: 2	13	14	0
SITE: 2	14	15	0
SITE: 2	15	16	1
SITE: 2	16	17	0
SITE: 2	17	18	0
SITE: 2	18	19	0
SITE: 2	19	20	0
SITE: 2	20	21	1
SITE: 2	21	22	1
SITE: 2	22	23	0
SITE: 2	23	24	0
SITE: 2	24	25	1
SITE: 2	25	26	0
SITE: 2	26	27	0
SITE: 2	27	28	1
SITE: 2	28	29	0
SITE: 2	29	30	1
SITE: 2	30	31	1
SITE: 2	31	32	1
SITE: 2	32	33	0
SITE: 2	33	34	0
SITE: 2	34	35	0
SITE: 2	35	36	1
SITE: 2	36	37	0
SITE: 2	37	38	1
SITE: 2	38	39	1
SITE: 2	39	40	1
SITE: 2	40	41	1
SITE: 2	41	42	0
SITE: 2	42	43	0
SITE: 2	43	44	1
SITE: 2	44	45	0
SITE: 2	45	46	0
SITE: 2	46	47	1
SITE: 2	47	48	1
SITE: 2	48	49	0
SITE: 2	49	50	1
SITE: 2	50	51	1
SITE: 2	51	52	0
SITE: 2	52	53	0
SITE: 2	53	54	1
SITE: 2	54	55	1
SITE: 2	55	56	0
SITE: 2	56	57	1
SITE: 2	57	58	1
SITE: 2	58	59	1
SITE: 2	59	60	0
SITE: 2	60	61	0
SITE: 2	61	62	0
SITE: 2	63	63	1
SITE: 2	62	62	1
SITE: 2	12	12	0
SITE: 2	2	2	1
MPS Info: -9.62413 1.03828 0.0698995 
Writing MPS done!
