LLLHLHHHHLHLLHHLLHHHHLLLHLHHHLLHLHHHLHLHLLLLLHHLHLLLHLLLHLLLHHLH
W_LIST: -0.635266 -1.21637 -0.397143 -0.622665 -0.542127 -0.221391 -0.867223 -0.293457 -0.767672 0.387217 -0.942069 -1.28919 -1.06089 -0.562906 -1.10665 -0.434147 -1.32473 0.81094 -0.301541 -1.11971 -0.264701 -0.760113 1.0298 -0.700328 -1.06877 -0.873186 0.657668 0.782856 -0.267582 -0.248353 -0.994238 -0.0657031 -0.467731 -0.855681 0.301056 -0.216574 0.173122 0.397931 -0.153596 0.173252 -0.787045 0.934574 -0.467505 -0.125729 0.757862 -0.750659 -0.472372 -1.16307 -0.807123 0.0242521 0.203929 -0.423875 1.24031 -0.516875 0.896816 -1.27538 1.27962 -0.909117 0.5509 -0.201266 -0.364375 1.08634 -0.760045 1.26931 
st	op	ed	phy
SITE: 55	56	58	0
SITE: 54	55	58	0
SITE: 53	54	58	1
SITE: 52	53	58	0
SITE: 51	52	58	0
SITE: 51	58	59	1
SITE: 50	57	59	0
SITE: 50	59	60	0
SITE: 51	61	62	0
SITE: 50	60	62	0
SITE: 50	62	63	0
SITE: 15	16	18	0
SITE: 14	17	18	0
SITE: 14	15	19	1
SITE: 13	14	19	1
SITE: 13	19	20	1
SITE: 12	13	20	1
SITE: 11	12	20	0
SITE: 9	10	18	1
SITE: 9	11	20	0
SITE: 8	18	20	1
SITE: 9	21	22	0
SITE: 8	20	22	1
SITE: 8	22	23	1
SITE: 8	23	24	0
SITE: 9	25	26	0
SITE: 8	24	26	0
SITE: 8	26	27	0
SITE: 8	27	28	0
SITE: 8	28	29	0
SITE: 8	9	30	0
SITE: 7	8	30	1
SITE: 6	7	30	1
SITE: 5	6	30	1
SITE: 5	30	31	0
SITE: 5	31	32	0
SITE: 5	29	33	1
SITE: 5	33	34	1
SITE: 5	32	35	0
SITE: 4	5	35	1
SITE: 3	34	35	0
SITE: 3	4	36	0
SITE: 1	3	35	1
SITE: 1	35	36	1
SITE: 0	1	36	0
SITE: 49	50	63	1
SITE: 48	51	63	0
SITE: 47	48	63	1
SITE: 46	47	63	0
SITE: 45	49	63	1
SITE: 44	45	63	1
SITE: 43	44	63	1
SITE: 42	43	63	0
SITE: 41	46	63	1
SITE: 40	41	63	1
SITE: 39	40	63	0
SITE: 38	39	63	0
SITE: 37	38	63	0
SITE: 2	37	42	0
SITE: 2	36	63	1
SITE: 0	63	63	0
SITE: 0	2	42	1
SITE: 0	0	42	0
WARN: Unitary gate is identity
SITE: 42	42	42	0
MPS Info: -2.07191 2.77856 1.03895 
Writing MPS done!
