LHLHLHHLLLLLLHHLLHHLLHLLHLHHHHHHLHHHLLLLLLLHLHLHLHLHHLHHHHHLLLLL
W_LIST: 1.16454 1.72637 1.33182 -0.611549 1.14214 -0.681627 -1.11737 1.28984 0.353173 -1.9432 -1.81765 -0.509401 2.13925 -1.56954 -1.11672 -0.298601 -1.7353 2.05339 -1.61138 -1.60893 1.75611 -1.1002 1.25863 1.26306 -1.31114 -0.411417 2.0036 0.873474 0.504682 0.618017 0.616256 2.14715 -0.248457 2.10904 -0.47435 2.1207 0.354021 -1.63158 0.704837 2.1203 1.33063 0.332042 2.15549 -0.294239 1.97308 1.25289 0.423917 0.662387 -2.00837 1.2783 -1.7649 -1.98279 -0.629305 -1.42323 -1.57605 0.237366 0.129251 -1.33426 -2.32362 -0.105139 1.22166 -2.26113 1.60664 -1.9059 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	2	4	1
SITE: 0	0	5	1
SITE: 3	3	6	1
SITE: 4	6	7	1
SITE: 4	5	8	1
SITE: 4	7	9	1
SITE: 4	9	10	0
SITE: 4	10	11	0
SITE: 4	4	12	1
SITE: 8	12	13	1
SITE: 8	13	14	1
SITE: 8	14	15	1
SITE: 8	15	16	0
SITE: 8	16	17	0
SITE: 8	17	18	0
SITE: 8	18	19	1
SITE: 8	19	20	0
SITE: 8	20	21	1
SITE: 8	21	22	1
SITE: 8	22	23	1
SITE: 8	23	24	1
SITE: 8	24	25	1
SITE: 8	25	26	0
SITE: 8	26	27	0
SITE: 8	27	28	0
SITE: 8	28	29	0
SITE: 8	11	30	0
SITE: 8	30	31	0
SITE: 8	31	32	0
SITE: 8	29	33	0
SITE: 8	33	34	0
SITE: 8	32	35	1
SITE: 8	35	36	0
SITE: 8	36	37	1
SITE: 8	37	38	0
SITE: 8	38	39	1
SITE: 8	39	40	1
SITE: 8	40	41	1
SITE: 8	41	42	0
SITE: 8	42	43	1
SITE: 8	43	44	1
SITE: 8	44	45	1
SITE: 8	45	46	0
SITE: 8	34	47	0
SITE: 8	47	48	0
SITE: 8	48	49	0
SITE: 8	49	50	0
SITE: 8	50	51	0
SITE: 8	51	52	1
SITE: 8	52	53	1
SITE: 8	53	54	0
SITE: 8	54	55	1
SITE: 8	55	56	0
SITE: 8	46	57	1
SITE: 8	57	58	1
SITE: 8	58	59	1
SITE: 8	59	60	0
SITE: 8	60	61	1
SITE: 8	61	62	0
SITE: 8	62	63	1
SITE: 8	63	63	0
WARN: Unitary gate is identity
SITE: 8	8	8	1
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: -1.80137 1.27931 0.210738 
Writing MPS done!
