HHHHLLLHHHLHLHLHHLHLLLLHLLLHLHHLHHHHHLLHHLHLLHLHLLHHLHHHHHLLHLLH
W_LIST: -0.55571 0.108988 0.414417 -0.502517 -0.115827 -0.159138 0.288155 -0.419364 0.523882 -0.328748 -0.301746 -0.380602 0.211355 -0.2274 0.659945 0.535432 0.459637 0.119808 0.173073 -0.0590419 0.538452 0.318769 -0.534123 0.486801 0.626527 -0.344296 -0.239724 -0.623181 -0.219447 -0.0661381 0.0509794 0.0299981 0.207349 0.0838796 -0.477993 -0.443189 0.30768 -0.424932 -0.653209 0.603093 0.273371 -0.362886 -0.308229 -0.35752 -0.0962316 -0.374834 0.408465 0.0876168 -0.196754 0.166016 -0.124734 -0.439362 0.148387 0.129025 -0.142216 -0.324936 -0.308367 -0.587288 0.415301 -0.385906 -0.0824043 0.30638 0.19098 -0.435622 
st	op	ed	phy
SITE: 14	15	17	0
SITE: 12	14	16	1
SITE: 11	13	16	1
SITE: 16	18	19	0
SITE: 16	17	20	0
SITE: 16	20	21	1
SITE: 16	19	22	0
SITE: 16	22	23	0
SITE: 16	23	24	0
SITE: 16	24	25	1
SITE: 16	25	26	0
SITE: 16	26	27	1
SITE: 16	27	28	1
SITE: 16	28	29	0
SITE: 16	29	30	0
SITE: 10	11	16	1
SITE: 16	21	31	1
SITE: 16	30	32	0
SITE: 16	31	33	1
SITE: 16	32	34	1
SITE: 16	34	35	1
SITE: 16	35	36	1
SITE: 16	33	37	1
SITE: 16	37	38	0
SITE: 16	36	39	0
SITE: 16	39	40	0
SITE: 16	40	41	0
SITE: 9	10	16	0
SITE: 8	9	16	1
SITE: 7	8	16	0
SITE: 6	7	16	1
SITE: 5	6	16	1
SITE: 4	5	16	0
SITE: 3	4	16	1
SITE: 2	3	16	1
SITE: 1	2	16	1
SITE: 0	0	16	1
SITE: 16	38	42	0
SITE: 16	42	43	1
SITE: 12	16	43	0
SITE: 54	55	57	1
SITE: 56	58	59	1
SITE: 54	56	59	1
SITE: 57	59	61	0
SITE: 54	57	61	1
SITE: 48	49	51	1
SITE: 46	48	50	0
SITE: 45	46	50	1
SITE: 44	45	50	1
SITE: 50	52	53	1
SITE: 50	53	54	1
SITE: 50	54	60	1
SITE: 43	44	50	0
SITE: 50	60	61	1
SITE: 50	61	62	0
SITE: 50	62	63	1
SITE: 47	50	63	1
SITE: 12	43	47	0
SITE: 12	41	51	1
SITE: 12	51	63	1
SITE: 1	12	63	1
SITE: 1	63	63	1
SITE: 1	47	47	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: 4.06275 2.95101 0.343373 
Writing MPS done!
