HHHLHHLHHHLHHLHHHHLHHHHHHLLHHHLHHLLLLLLLLHLHHLHLHHLHLLHLLHHLHHHL
W_LIST: -0.646071 -0.832265 -0.716887 0.0438479 -0.46454 0.410058 -0.893535 0.295441 0.802521 -0.133674 0.592174 0.779729 0.000231333 -0.0727013 -0.125965 0.195994 -0.547819 -0.570446 -0.775925 0.146208 0.867169 0.48943 -0.0979633 0.377331 0.459198 0.67153 -0.417107 0.487839 -0.786097 0.380504 -0.164397 0.191306 -0.294739 0.788678 -0.371725 -0.0650507 0.899685 0.0984176 0.899328 -0.561364 0.980247 -0.513062 -0.138761 -0.450084 -0.61797 0.69262 0.892885 0.703225 0.950286 0.875685 0.628445 -0.773509 -0.583718 -0.877548 0.165295 0.75594 0.23142 0.761188 -0.809729 0.0999864 0.208437 0.518927 -0.736871 -0.964335 
st	op	ed	phy
SITE: 38	40	41	1
SITE: 37	39	41	0
SITE: 37	38	42	1
SITE: 36	41	42	1
SITE: 36	37	43	0
SITE: 35	36	43	1
SITE: 33	34	42	0
SITE: 33	35	43	0
SITE: 32	33	43	1
SITE: 31	32	43	1
SITE: 30	31	43	0
SITE: 29	30	43	0
SITE: 28	29	43	0
SITE: 27	28	43	1
SITE: 26	27	43	0
SITE: 25	26	43	0
SITE: 24	25	43	1
SITE: 23	24	43	1
SITE: 22	23	43	0
SITE: 21	22	43	1
SITE: 20	21	43	0
SITE: 19	20	43	0
SITE: 18	19	43	0
SITE: 17	42	43	0
SITE: 18	44	45	1
SITE: 17	43	45	1
SITE: 17	45	46	1
SITE: 17	46	47	0
SITE: 17	47	48	1
SITE: 17	48	49	0
SITE: 18	50	51	1
SITE: 17	49	51	0
SITE: 17	51	52	1
SITE: 17	52	53	0
SITE: 17	53	54	0
SITE: 17	54	55	0
SITE: 17	55	56	1
SITE: 18	57	58	0
SITE: 17	56	58	1
SITE: 17	58	59	1
SITE: 17	59	60	0
SITE: 18	60	62	0
SITE: 17	61	62	0
SITE: 17	62	63	1
SITE: 16	17	63	1
SITE: 15	16	63	1
SITE: 14	18	63	0
SITE: 13	14	63	1
SITE: 12	13	63	0
SITE: 11	15	63	0
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 8	9	63	1
SITE: 7	8	63	0
SITE: 6	7	63	0
SITE: 5	6	63	0
SITE: 4	5	63	0
SITE: 3	4	63	1
SITE: 2	3	63	1
SITE: 1	2	63	1
SITE: 0	63	63	0
SITE: 0	1	12	1
SITE: 0	0	12	1
WARN: Unitary gate is identity
SITE: 12	12	12	1
MPS Info: 6.06209 2.06317 0.475278 
Writing MPS done!
