HHLHHHLHHLLLHHLHLLLHLLHLHHLHHHLHLHLHHHHLHLLHHLLLHHLHLLHHHLHLLHHH
W_LIST: -1.84465 0.535862 0.645939 -1.78534 1.03878 -1.08447 0.656607 1.8076 -0.113289 1.26066 -0.376336 0.27664 -0.858473 -1.20417 0.554138 -0.369607 1.22403 -0.106892 0.596761 -1.46754 1.53441 -1.57256 -1.07157 0.473513 -0.120223 -1.19884 -0.203275 0.871896 0.194466 1.41507 1.66496 1.28823 1.36099 -0.788828 0.409942 -1.64995 -1.99428 0.8849 -1.34813 -1.48271 -0.665169 -0.53774 0.549284 1.47986 0.392491 -1.84006 1.77125 -1.23644 -0.435295 0.794173 1.86266 -1.96924 0.718484 -0.523256 -1.15242 -0.402427 0.0575997 -0.0658025 1.66918 -0.150936 0.592472 -1.49104 -1.05577 0.519664 
st	op	ed	phy
SITE: 29	30	32	1
SITE: 58	60	61	1
SITE: 7	9	10	1
SITE: 27	29	31	0
SITE: 48	50	51	1
SITE: 6	7	10	0
SITE: 28	32	33	1
SITE: 47	48	51	1
SITE: 37	39	40	0
SITE: 55	57	58	0
SITE: 19	21	22	0
SITE: 10	12	13	1
SITE: 56	58	61	0
SITE: 6	10	11	0
SITE: 22	23	25	1
SITE: 25	27	28	0
SITE: 8	13	14	1
SITE: 37	38	41	1
SITE: 2	3	5	1
SITE: 5	6	11	1
SITE: 55	56	61	0
SITE: 19	20	24	1
SITE: 40	41	43	0
SITE: 8	14	15	1
SITE: 8	15	16	1
SITE: 37	40	43	0
SITE: 22	25	26	1
SITE: 33	35	36	1
SITE: 28	33	34	1
SITE: 46	47	51	0
SITE: 2	5	8	1
SITE: 18	19	24	1
SITE: 31	36	37	1
SITE: 1	4	8	0
SITE: 52	54	55	1
SITE: 0	0	8	1
SITE: 45	46	51	1
SITE: 8	16	17	1
SITE: 52	53	59	0
SITE: 1	1	11	0
SITE: 11	17	22	0
SITE: 34	42	43	1
SITE: 43	45	49	0
SITE: 2	11	18	1
SITE: 55	61	62	1
SITE: 37	43	49	0
SITE: 24	28	31	0
SITE: 51	52	59	1
SITE: 49	51	59	1
SITE: 31	34	44	0
SITE: 18	24	26	1
SITE: 22	31	37	1
SITE: 18	22	37	1
SITE: 8	18	37	1
SITE: 37	44	55	0
SITE: 49	55	62	1
SITE: 2	8	37	1
SITE: 26	49	59	0
SITE: 26	59	62	0
SITE: 2	2	62	1
SITE: 26	62	63	1
SITE: 26	26	63	0
SITE: 37	63	63	0
SITE: 37	37	37	1
MPS Info: 5.98339 1.44707 0.328407 
Writing MPS done!
