LLLLLHHLLHLLHLLLLHLLLHLLLHLHHLLHHLHHHHLLHLLLLLHLHLLLHHHLLLLLLHHH
W_LIST: -4.29801 2.80517 3.02617 4.83635 -3.62929 3.67204 -3.9502 1.79988 -1.80108 -4.04377 -1.25448 0.150699 1.14853 -1.11466 -3.57147 -4.42521 2.01472 3.96243 -1.27419 -2.81488 -0.805995 -1.25487 2.80787 -2.9074 1.01859 4.79752 -2.98926 -0.202002 -2.67711 -0.741557 2.21412 1.8693 1.26144 -3.411 0.851553 0.893774 -1.43626 -0.506244 3.75061 1.53239 4.38978 -4.24585 3.13602 -4.34567 3.74113 0.769475 -3.92426 2.99245 -0.0138809 3.9696 -3.59016 -1.46439 -2.52655 0.945659 4.77434 2.96212 -1.56283 2.13865 -4.28306 2.81854 1.43704 3.23292 -1.90134 -2.13874 
st	op	ed	phy
SITE: 43	44	46	1
SITE: 41	43	45	0
SITE: 41	42	46	1
SITE: 40	41	46	0
SITE: 40	46	47	1
SITE: 39	40	47	0
SITE: 37	38	45	1
SITE: 37	39	47	1
SITE: 37	47	48	1
SITE: 37	48	49	1
SITE: 37	49	50	1
SITE: 37	50	51	0
SITE: 45	52	53	1
SITE: 37	51	53	0
SITE: 37	53	54	0
SITE: 45	54	56	0
SITE: 37	55	56	1
SITE: 45	57	58	1
SITE: 37	56	58	0
SITE: 37	58	59	0
SITE: 37	59	60	1
SITE: 45	61	62	0
SITE: 37	60	62	1
SITE: 5	6	8	1
SITE: 3	4	7	0
SITE: 3	5	8	0
SITE: 2	3	8	1
SITE: 2	8	9	0
SITE: 2	9	10	1
SITE: 2	7	11	1
SITE: 0	0	10	0
SITE: 1	1	11	1
SITE: 15	17	18	0
SITE: 15	16	19	1
SITE: 13	15	18	0
SITE: 13	14	19	0
SITE: 12	18	19	0
SITE: 12	19	20	0
SITE: 13	21	22	1
SITE: 12	13	22	0
SITE: 12	22	23	1
SITE: 12	23	24	0
SITE: 20	25	26	0
SITE: 12	24	26	1
SITE: 10	12	20	0
SITE: 2	2	20	1
SITE: 10	10	26	0
SITE: 11	26	27	0
SITE: 11	11	28	1
SITE: 20	28	29	1
SITE: 20	29	30	0
SITE: 20	30	31	1
SITE: 27	32	33	0
SITE: 20	31	33	0
SITE: 20	33	34	0
SITE: 37	62	63	1
SITE: 27	34	36	0
SITE: 20	35	36	0
SITE: 27	37	45	1
SITE: 27	36	63	1
SITE: 20	63	63	1
SITE: 20	20	45	0
WARN: Unitary gate is identity
SITE: 45	45	45	0
WARN: Unitary gate is identity
SITE: 27	27	27	0
MPS Info: -24.5196 0.275383 6.29676e-08 
Writing MPS done!
