LLLLLHLHHLHLLHLLLHLLHLHHLHLLLHHLHHHLHHHHLLHLLHHLLLLHHHHLLHHLHHHH
W_LIST: -0.0254749 -0.818326 -1.48986 0.377932 -1.30186 -1.27191 -0.673561 -0.565175 0.093336 0.435915 0.938278 -1.13503 1.53458 -0.607572 -0.376798 -1.2811 -0.51562 1.09883 -0.389694 -0.790963 -0.312439 0.626171 1.18443 0.0484305 -1.33049 -0.323379 -1.12009 -0.269805 -0.492497 1.60539 -1.15064 1.5416 1.12552 -0.137838 -1.07369 -0.582584 0.018102 -0.641831 1.16741 -0.648757 1.1376 -0.0438486 -0.119313 -0.998593 0.0819466 -1.5448 -0.319084 0.669818 1.17626 -1.49898 -0.158747 -0.0425127 0.39181 -0.845385 1.2524 -1.33033 -0.430306 -1.08191 -0.863715 1.0365 1.23432 0.326578 0.0906247 -0.968407 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	1
SITE: 0	4	5	0
SITE: 0	1	6	0
SITE: 0	0	7	1
SITE: 5	6	8	0
SITE: 5	5	9	0
SITE: 7	9	10	1
SITE: 7	10	11	0
SITE: 7	11	12	0
SITE: 7	12	13	1
SITE: 7	13	14	1
SITE: 7	14	15	0
SITE: 7	15	16	0
SITE: 7	7	17	1
SITE: 8	17	18	0
SITE: 8	16	19	1
SITE: 8	19	20	0
SITE: 8	18	21	1
SITE: 8	21	22	1
SITE: 8	20	23	1
SITE: 8	22	24	0
SITE: 8	24	25	0
SITE: 8	23	26	0
SITE: 8	26	27	0
SITE: 8	25	28	0
SITE: 8	28	29	0
SITE: 8	29	30	0
SITE: 8	30	31	1
SITE: 8	31	32	1
SITE: 8	32	33	0
SITE: 8	27	34	1
SITE: 8	34	35	1
SITE: 8	8	36	0
SITE: 33	35	37	0
SITE: 33	37	38	1
SITE: 33	38	39	0
SITE: 33	36	40	0
SITE: 33	40	41	1
SITE: 33	39	42	1
SITE: 33	41	43	0
SITE: 33	43	44	0
SITE: 33	44	45	1
SITE: 33	45	46	1
SITE: 33	46	47	1
SITE: 33	42	48	0
SITE: 33	48	49	1
SITE: 33	49	50	0
SITE: 33	50	51	1
SITE: 33	51	52	1
SITE: 33	33	53	1
SITE: 47	53	54	1
SITE: 47	54	55	0
SITE: 47	55	56	0
SITE: 47	56	57	1
SITE: 47	57	58	1
SITE: 47	58	59	1
SITE: 47	59	60	1
SITE: 47	60	61	0
SITE: 47	61	62	0
SITE: 47	63	63	1
SITE: 47	47	62	0
SITE: 52	52	62	1
SITE: 62	62	62	0
MPS Info: -1.14953 1.80437 0.679625 
Writing MPS done!
